ho (km),po (kg/m3 ),H (m)
0,1.225,8440
25000,3.90E-02,6490
30000,1.77E-02,6750
35000,8.28E-03,7070
40000,3.97E-03,7470
45000,2.00E-03,7830
50000,1.06E-03,7950
55000,5.82E-04,7730
60000,3.21E-04,7290
65000,1.72E-04,6810
70000,8.77E-05,6330
75000,4.18E-05,6000
80000,1.91E-05,5700
85000,8.34E-06,5410
90000,3.40E-06,5380
95000,1.34E-06,5740
100000,5.30E-07,6150
110000,9.66E-08,8060
120000,2.44E-08,11600
130000,8.48E-09,16100
140000,3.85E-09,20600
150000,2.07E-09,24600
160000,1.22E-09,26300
180000,5.46E-10,33200
200000,2.79E-10,38500
250000,7.25E-11,46900
300000,2.42E-11,52500
350000,9.16E-12,56400
400000,3.73E-12,59400
450000,1.59E-12,62200
500000,6.97E-13,65800
600000,1.45E-13,79000
700000,3.61E-14,109000
800000,1.17E-14,164000
900000,5.25E-15,225000
1000000,3.02E-15,268000
